title,genres,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross
fool's gold,Drama,,,,0,0,,,
forbidden,Drama,,,,0,0,,,
greased lightning,Comedy,,52%,,0,0,,,
loot,"Crime,Drama",,32%,,0,0,,,
the pest,"Comedy,Drama",4%,67%,,0,0,,,
the secret garden,Drama,89%,80%,,0,0,,,"$31,181,000"
stepping out,Drama,,,,0,0,,,
thieves,"Crime,Drama",,,,0,0,,,
the confession,Drama,,92%,Oscars - SHORT FILM (Live Action) (Nominated),1,0,,Oscars - SHORT FILM (Live Action) (Nominated),
devotion,Drama,,,,0,0,,,"$21,461,880"
earthbound,"Crime,Drama",,,,0,0,,,
the hound of the baskervilles,"Crime,Horror,Mystery",,,,0,0,,,
huckleberry finn,"Comedy,Drama",,38%,,0,0,,,
the last of the mohicans,"Action,Adventure,Drama",,,"Oscars - ASSISTANT DIRECTOR (Nominated)
Oscars - SOUND (Won)",2,1,Oscars - SOUND (Won),Oscars - ASSISTANT DIRECTOR (Nominated),"$75,505,856"
the lost city,"Action,Adventure",79%,83%,,0,0,,,"$192,327,444"
risky business,Drama,,,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated),1,0,,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated),"$63,541,777"
voices,Drama,,29%,,0,0,,,
what women want,Drama,54%,54%,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated),1,0,,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated),"$374,105,123"
wuthering heights,Drama,31%,66%,"Oscars - ACTOR (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - CINEMATOGRAPHY (Black-and-White) (Won)
Oscars - DIRECTING (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - OUTSTANDING PRODUCTION (Nominated)
Oscars - WRITING (Screenplay) (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)",9,1,Oscars - CINEMATOGRAPHY (Black-and-White) (Won),"Oscars - ACTOR (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - DIRECTING (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - OUTSTANDING PRODUCTION (Nominated)
Oscars - WRITING (Screenplay) (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)",
the barbarian,Drama,,,,0,0,,,
black beauty,Drama,,,,0,0,,,
black sheep,Western,71%,53%,Oscars - DOCUMENTARY (Short Subject) (Nominated),1,0,,Oscars - DOCUMENTARY (Short Subject) (Nominated),"$32,330,354"
cold steel,"Action,Drama",,11%,,0,0,,,
the fighter,Drama,91%,89%,"Oscars - ACTOR IN A SUPPORTING ROLE (Won)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Won)
Oscars - DIRECTING (Nominated)
Oscars - FILM EDITING (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - WRITING (Original Screenplay) (Nominated)",7,2,"Oscars - ACTOR IN A SUPPORTING ROLE (Won)
Oscars - ACTRESS IN A SUPPORTING ROLE (Won)","Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - DIRECTING (Nominated)
Oscars - FILM EDITING (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - WRITING (Original Screenplay) (Nominated)","$129,262,388"
first love,"Comedy,Romance",,,"Oscars - ART DIRECTION (Nominated)
Oscars - CINEMATOGRAPHY (Black-and-White) (Nominated)
Oscars - MUSIC (Scoring) (Nominated)
Oscars - FOREIGN LANGUAGE FILM (Nominated)",4,0,,"Oscars - ART DIRECTION (Nominated)
Oscars - CINEMATOGRAPHY (Black-and-White) (Nominated)
Oscars - MUSIC (Scoring) (Nominated)
Oscars - FOREIGN LANGUAGE FILM (Nominated)",
fool's paradise,Romance,,,,0,0,,,
the four feathers,"Adventure,Drama,Romance",42%,65%,,0,0,,,"$29,882,645"
habit,Drama,75%,62%,,0,0,,,
high heels,Drama,,,,0,0,,,
hush,"Drama,Romance",,,,0,0,,,
idle hands,Drama,16%,58%,,0,0,,,
the killer,Western,,,,0,0,,,
leap year,Comedy,,50%,,0,0,,,"$32,618,920"
little italy,"Comedy,Romance",,,,0,0,,,
made in heaven,"Comedy,Romance",,,,0,0,,,
nobody's fool,Comedy,,,"Oscars - ACTOR IN A LEADING ROLE (Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published) (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)",3,0,,"Oscars - ACTOR IN A LEADING ROLE (Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published) (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)","$39,453,238"
the oath,Drama,75%,61%,,0,0,,,
salvage,Drama,86%,20%,,0,0,,,
shame,Drama,65%,88%,"Golden Globes - Foreign Film - Foreign Language (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)",2,0,,"Golden Globes - Foreign Film - Foreign Language (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)","$20,412,841"
stranger than fiction,"Action,Drama",73%,85%,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated),1,0,,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated),"$53,572,822"
barb wire,Western,28%,14%,,0,0,,,
confidence,Comedy,69%,70%,Oscars - FOREIGN LANGUAGE FILM (Nominated),1,0,,Oscars - FOREIGN LANGUAGE FILM (Nominated),
glass houses,"Comedy,Romance",,,,0,0,,,
grandma's boy,"Comedy,Family",15%,85%,,0,0,,,
gun shy,"Comedy,Western",26%,36%,,0,0,,,
handle with care,Comedy,,,,0,0,,,
head over heels,Comedy,90%,92%,,0,0,,,
the infidel,Drama,59%,45%,,0,0,,,
kissed,"Comedy,Romance",68%,67%,,0,0,,,
kisses,"Comedy,Romance",,86%,,0,0,,,
making the grade,,,54%,,0,0,,,
nobody,"Drama,Mystery",,,,0,0,,,"$57,512,470"
phantom,"Drama,Romance",,,,0,0,,,
rob roy,Adventure,,,"Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)",2,0,,"Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)","$31,390,587"
the seventh day,"Drama,Romance",,,,0,0,,,
skin deep,"Crime,Drama",,,,0,0,,,"$19,000,000"
sky high,"Action,Drama,Romance",,56%,,0,0,,,"$83,109,359"
sonny,Drama,21%,41%,,0,0,,,
speed,"Action,Drama",,62%,"Oscars - FILM EDITING (Nominated)
Oscars - SOUND (Won)
Oscars - SOUND EFFECTS EDITING (Won)
BAFTAs - Film | Editing in 1995 (Won)
BAFTAs - Film | Sound in 1995 (Won)",5,4,"Oscars - SOUND (Won)
Oscars - SOUND EFFECTS EDITING (Won)
BAFTAs - Film | Editing in 1995 (Won)
BAFTAs - Film | Sound in 1995 (Won)",Oscars - FILM EDITING (Nominated),"$283,200,000"
call of the wild,Adventure,,100%,,0,0,,,
the fog,Drama,,,,0,0,,,"$37,048,526"
fury,"Adventure,Drama",,,Oscars - WRITING (Original Story) (Nominated),1,0,,Oscars - WRITING (Original Story) (Nominated),"$210,221,008"
gossip,Drama,28%,47%,,0,0,,,
lights out,"Crime,Drama",,,,0,0,,,"$148,806,510"
the love letter,"Crime,Drama",33%,38%,,0,0,,,
luck,"Action,Comedy,Sport",43%,38%,,0,0,,,
sylvester,Drama,,90%,,0,0,,,
the ten commandments,"Biography,Drama,History",,,"Oscars - ART DIRECTION (Color) (Nominated)
Oscars - CINEMATOGRAPHY (Color) (Nominated)
Oscars - COSTUME DESIGN (Color) (Nominated)
Oscars - FILM EDITING (Nominated)
Oscars - BEST MOTION PICTURE (Nominated)
Oscars - SOUND RECORDING (Nominated)
Oscars - SPECIAL EFFECTS (Won)",7,1,Oscars - SPECIAL EFFECTS (Won),"Oscars - ART DIRECTION (Color) (Nominated)
Oscars - CINEMATOGRAPHY (Color) (Nominated)
Oscars - COSTUME DESIGN (Color) (Nominated)
Oscars - FILM EDITING (Nominated)
Oscars - BEST MOTION PICTURE (Nominated)
Oscars - SOUND RECORDING (Nominated)","$85,431,454"
the tie that binds,Drama,8%,32%,,0,0,,,
white tiger,Drama,,58%,,0,0,,,
the wild party,"Comedy,Drama",,,,0,0,,,
against all odds,Western,64%,46%,"Oscars - MUSIC (Original Song) (Nominated)
Golden Globes - Best Original Song - Motion Picture (Nominated)",2,0,,"Oscars - MUSIC (Original Song) (Nominated)
Golden Globes - Best Original Song - Motion Picture (Nominated)","$25,100,000"
the age of innocence,Drama,,33%,"Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - COSTUME DESIGN (Won)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published) (Nominated)",5,1,Oscars - COSTUME DESIGN (Won),"Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published) (Nominated)","$32,021,688"
the bedroom window,Mystery,72%,50%,,0,0,,,
butterfly,"Drama,Romance",,,"Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Original Song - Motion Picture (Nominated)
Golden Globes - New Star Of The Year (Won)",3,1,Golden Globes - New Star Of The Year (Won),"Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Original Song - Motion Picture (Nominated)",
hit and run,"Sport,Western",,16%,,0,0,,,
manhattan,"Adventure,Comedy,Romance",94%,92%,"Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen) (Nominated)
BAFTAs - Film | Cinematography in 1980 (Nominated)
BAFTAs - Film | Direction in 1980 (Nominated)
BAFTAs - Film | Film in 1980 (Won)
BAFTAs - Film | Film Editing in 1980 (Nominated)
BAFTAs - Film | Screenplay in 1980 (Won)
BAFTAs - Film | Soundtrack in 1980 (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)",9,2,"BAFTAs - Film | Film in 1980 (Won)
BAFTAs - Film | Screenplay in 1980 (Won)","Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen) (Nominated)
BAFTAs - Film | Cinematography in 1980 (Nominated)
BAFTAs - Film | Direction in 1980 (Nominated)
BAFTAs - Film | Film Editing in 1980 (Nominated)
BAFTAs - Film | Soundtrack in 1980 (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)","$40,053,595"
michael,"Drama,Romance",,,,0,0,,,"$119,745,070"
peter pan,"Adventure,Family,Fantasy",,50%,,0,0,,,"$95,255,485"
sundown,Western,,9%,"Oscars - ART DIRECTION (Black-and-White) (Nominated)
Oscars - CINEMATOGRAPHY (Black-and-White) (Nominated)
Oscars - MUSIC (Music Score of a Dramatic Picture) (Nominated)",3,0,,"Oscars - ART DIRECTION (Black-and-White) (Nominated)
Oscars - CINEMATOGRAPHY (Black-and-White) (Nominated)
Oscars - MUSIC (Music Score of a Dramatic Picture) (Nominated)",
teeth,Western,80%,45%,,0,0,,,
accused,Drama,100%,,,0,0,,,
bad company,"Drama,Romance",,,,0,0,,,"$69,157,016"
before midnight,Drama,,,"Oscars - WRITING (Adapted Screenplay) (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy (Nominated)",2,0,,"Oscars - WRITING (Adapted Screenplay) (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy (Nominated)","$23,225,160"
blue blood,Drama,,,,0,0,,,
boy,Drama,88%,86%,,0,0,,,
braveheart,Western,,,"Oscars - CINEMATOGRAPHY (Won)
Oscars - COSTUME DESIGN (Nominated)
Oscars - DIRECTING (Won)
Oscars - FILM EDITING (Nominated)
Oscars - MAKEUP (Won)
Oscars - MUSIC (Original Dramatic Score) (Nominated)
Oscars - BEST PICTURE (Won)
Oscars - SOUND (Nominated)
Oscars - SOUND EFFECTS EDITING (Won)
Oscars - WRITING (Screenplay Written Directly for the Screen) (Nominated)
BAFTAs - Film | Anthony Asquith Award for Original Film Music in 1996 (Nominated)
BAFTAs - Film | Cinematography in 1996 (Won)
BAFTAs - Film | Costume Design in 1996 (Won)
BAFTAs - Film | David Lean Award for Achievement in Direction in 1996 (Nominated)
BAFTAs - Film | Lloyds Bank People's Vote For The Most Popular Film in 1996 (Won)
BAFTAs - Film | Make-Up And Hair in 1996 (Nominated)
BAFTAs - Film | Production Design in 1996 (Nominated)
BAFTAs - Film | Sound in 1996 (Won)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Director - Motion Picture (Won)
Golden Globes - Best Screenplay - Motion Picture (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)",22,10,"Oscars - CINEMATOGRAPHY (Won)
Oscars - DIRECTING (Won)
Oscars - MAKEUP (Won)
Oscars - BEST PICTURE (Won)
Oscars - SOUND EFFECTS EDITING (Won)
BAFTAs - Film | Cinematography in 1996 (Won)
BAFTAs - Film | Costume Design in 1996 (Won)
BAFTAs - Film | Lloyds Bank People's Vote For The Most Popular Film in 1996 (Won)
BAFTAs - Film | Sound in 1996 (Won)
Golden Globes - Best Director - Motion Picture (Won)","Oscars - COSTUME DESIGN (Nominated)
Oscars - FILM EDITING (Nominated)
Oscars - MUSIC (Original Dramatic Score) (Nominated)
Oscars - SOUND (Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen) (Nominated)
BAFTAs - Film | Anthony Asquith Award for Original Film Music in 1996 (Nominated)
BAFTAs - Film | David Lean Award for Achievement in Direction in 1996 (Nominated)
BAFTAs - Film | Make-Up And Hair in 1996 (Nominated)
BAFTAs - Film | Production Design in 1996 (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)","$209,045,244"
the circle,"Comedy,Drama",,,,0,0,,,"$45,497,689"
cobra,"Drama,Romance",18%,43%,,0,0,,,"$49,042,224"
cymbeline,,,,,0,0,,,
the freshman,"Comedy,Family,Romance",95%,78%,,0,0,,,"$21,289,527"
the live wire,"Comedy,Romance",,,,0,0,,,
marry me,Comedy,,,,0,0,,,"$48,774,993"
my son,"Drama,Romance",,80%,,0,0,,,
the phantom of the opera,"Horror,Music",33%,84%,"Oscars - ART DIRECTION (Nominated)
Oscars - CINEMATOGRAPHY (Nominated)
Oscars - MUSIC (Original Song) (Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Original Song - Motion Picture (Nominated)",6,0,,"Oscars - ART DIRECTION (Nominated)
Oscars - CINEMATOGRAPHY (Nominated)
Oscars - MUSIC (Original Song) (Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Original Song - Motion Picture (Nominated)","$153,907,999"
the promised land,,,92%,,0,0,,,
quick change,Drama,84%,71%,,0,0,,,
siege,"Drama,Romance",,,Oscars - SHORT SUBJECT (One-reel) (Nominated),1,0,,Oscars - SHORT SUBJECT (One-reel) (Nominated),
the verdict,Mystery,,,"Oscars - ACTOR IN A LEADING ROLE (Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Oscars - DIRECTING (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - WRITING (Screenplay Based on Material from Another Medium) (Nominated)",5,0,,"Oscars - ACTOR IN A LEADING ROLE (Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Oscars - DIRECTING (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - WRITING (Screenplay Based on Material from Another Medium) (Nominated)","$53,977,250"
welcome home,"Comedy,Drama",,,,0,0,,,
white fang,"Adventure,Family,Western",,14%,,0,0,,,"$34,729,091"
the boy friend,"Comedy,Romance",,,Oscars - MUSIC (Scoring: Adaptation and Original Song Score) (Nominated),1,0,,Oscars - MUSIC (Scoring: Adaptation and Original Song Score) (Nominated),
the great gatsby,Drama,52%,,"Oscars - COSTUME DESIGN (Won)
Oscars - MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation) (Won)
Oscars - COSTUME DESIGN (Won)
Oscars - PRODUCTION DESIGN (Won)
BAFTAs - Film | Art Direction in 1975 (Won)
BAFTAs - Film | Cinematography in 1975 (Won)
BAFTAs - Film | Costume Design in 1975 (Won)",7,7,"Oscars - COSTUME DESIGN (Won)
Oscars - MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation) (Won)
Oscars - COSTUME DESIGN (Won)
Oscars - PRODUCTION DESIGN (Won)
BAFTAs - Film | Art Direction in 1975 (Won)
BAFTAs - Film | Cinematography in 1975 (Won)
BAFTAs - Film | Costume Design in 1975 (Won)",,"$353,497,733"
metropolis,"Drama,Sci-Fi",,78%,,0,0,,,
moana,Documentary,87%,65%,"Oscars - ANIMATED FEATURE FILM (Nominated)
Oscars - MUSIC (Original Song) (Nominated)
BAFTAs - Film | Animated Film in 2017 (Nominated)
Golden Globes - Best Motion Picture - Animated (Nominated)
Golden Globes - Best Original Song - Motion Picture (Nominated)",5,0,,"Oscars - ANIMATED FEATURE FILM (Nominated)
Oscars - MUSIC (Original Song) (Nominated)
BAFTAs - Film | Animated Film in 2017 (Nominated)
Golden Globes - Best Motion Picture - Animated (Nominated)
Golden Globes - Best Original Song - Motion Picture (Nominated)","$684,654,985"
money talks,Comedy,15%,71%,,0,0,,,"$41,076,865"
monte carlo,"Comedy,Romance",40%,50%,,0,0,,,"$39,686,769"
north star,Drama,,24%,,0,0,,,
the outsider,Drama,,,,0,0,,,
paradise,"Drama,Romance",,,Oscars - SHORT FILM (Animated) (Nominated),1,0,,Oscars - SHORT FILM (Animated) (Nominated),"$18,634,643"
paris,"Drama,Romance",92%,,,0,0,,,"$22,850,194"
the rainmaker,Drama,,,"Oscars - ACTRESS (Nominated)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture) (Nominated)",2,0,,"Oscars - ACTRESS (Nominated)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture) (Nominated)","$47,159,786"
the sea beast,"Action,Adventure,Fantasy",94%,84%,Oscars - ANIMATED FEATURE FILM (Nominated),1,0,,Oscars - ANIMATED FEATURE FILM (Nominated),
the set-up,"Action,Adventure,Romance",85%,89%,BAFTAs - Film | Film From Any Source in 1950 (Nominated),1,0,,BAFTAs - Film | Film From Any Source in 1950 (Nominated),
shipwrecked,"Adventure,Drama,Romance",,68%,,0,0,,,
silence,"Crime,Drama,Romance",,,Oscars - CINEMATOGRAPHY (Nominated),1,0,,Oscars - CINEMATOGRAPHY (Nominated),"$23,709,894"
under fire,Western,91%,70%,"Oscars - MUSIC (Original Score) (Nominated)
BAFTAs - Film | Editing in 1985 (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)",4,0,,"Oscars - MUSIC (Original Score) (Nominated)
BAFTAs - Film | Editing in 1985 (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)",
volcano,"Drama,Romance",86%,75%,,0,0,,,"$120,100,000"
the american,Western,64%,39%,,0,0,,,"$67,950,723"
backstage,Comedy,,,,0,0,,,
becky,"Comedy,Romance",,,,0,0,,,
birds of prey,"Crime,Drama,Romance",,,,0,0,,,
cabaret,"Crime,Drama",92%,87%,"Oscars - ACTOR IN A SUPPORTING ROLE (Won)
Oscars - ACTRESS (Won)
Oscars - ART DIRECTION (Won)
Oscars - CINEMATOGRAPHY (Won)
Oscars - DIRECTING (Won)
Oscars - FILM EDITING (Won)
Oscars - MUSIC (Scoring: Adaptation and Original Song Score) (Won)
Oscars - BEST PICTURE (Nominated)
Oscars - SOUND (Won)
Oscars - WRITING (Screenplay--based on material from another medium) (Nominated)
BAFTAs - Film | Art Direction in 1973 (Won)
BAFTAs - Film | Costume Design in 1973 (Nominated)
BAFTAs - Film | Direction in 1973 (Won)
BAFTAs - Film | Film in 1973 (Won)
BAFTAs - Film | Film Editing in 1973 (Nominated)
BAFTAs - Film | Screenplay in 1973 (Nominated)
BAFTAs - Film | Soundtrack in 1973 (Won)
Golden Globes - Best Motion Picture - Musical or Comedy (Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy (Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Won)
Golden Globes - Best Director - Motion Picture (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)
Golden Globes - Best Original Song - Motion Picture (Nominated)
Golden Globes - Best Original Song - Motion Picture (Nominated)
Golden Globes - New Star Of The Year - Actress (Nominated)",26,15,"Oscars - ACTOR IN A SUPPORTING ROLE (Won)
Oscars - ACTRESS (Won)
Oscars - ART DIRECTION (Won)
Oscars - CINEMATOGRAPHY (Won)
Oscars - DIRECTING (Won)
Oscars - FILM EDITING (Won)
Oscars - MUSIC (Scoring: Adaptation and Original Song Score) (Won)
Oscars - SOUND (Won)
BAFTAs - Film | Art Direction in 1973 (Won)
BAFTAs - Film | Direction in 1973 (Won)
BAFTAs - Film | Film in 1973 (Won)
BAFTAs - Film | Soundtrack in 1973 (Won)
Golden Globes - Best Motion Picture - Musical or Comedy (Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy (Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Won)","Oscars - BEST PICTURE (Nominated)
Oscars - WRITING (Screenplay--based on material from another medium) (Nominated)
BAFTAs - Film | Costume Design in 1973 (Nominated)
BAFTAs - Film | Film Editing in 1973 (Nominated)
BAFTAs - Film | Screenplay in 1973 (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)
Golden Globes - Best Original Song - Motion Picture (Nominated)
Golden Globes - Best Original Song - Motion Picture (Nominated)
Golden Globes - New Star Of The Year - Actress (Nominated)","$41,409,720"
